question,language,domain,difficulty
"To prove a discriminatory classification, it must be shown that the government had intent to discriminate. Such intent can be shown by all but which of the following?",English,professional_law,hard
Kant claims that the natural purpose of reason is to:,English,philosophy,hard
"A CPA has been requested by a former audit client to reissue the auditor's report for the prior period. Before reissuing the report, the CPA should",English,professional_accounting,hard
变量选择是用来选择最好的判别器子集， 如果要考虑模型效率，我们应该做除了下列哪项的变量选择的考虑,Chinese,machine_learning,hard
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | It's hot in my house, so I give my visiting mother-in-law a thick wool blanket. Scenario 2 | I pulled my neighbors weeds after we got into an argument.",English,moral_scenarios,hard
"A man worked as a clerk in a gourmet coffee shop. His friend often stopped by the shop to chat with the man while the man was working. One afternoon, while the friend was visiting the shop, the man needed to use the bathroom. There were no customers in the shop at that moment, so the man asked the friend to watch the store for him while he went in the back to use the bathroom. The friend agreed to do so. While the man was in the bathroom, a customer came into the store. She wanted to purchase some freshly ground coffee. The shop had a grinding machine that customers could use. The customer selected a bag of coffee beans and then took it to the grinding machine. She was unsure how to start the machine, so she asked the friend for help. The friend tried to show the customer how to use the machine, but he was not familiar with how it worked, and he gave the customer erroneous instructions. The customer tried to follow the friend's instructions, but this led to her getting her finger pinched and cut by the machine. If the customer asserts a claim against the coffee shop company for her finger injury, the customer will most likely",English,professional_law,hard
罗老师讲解”观潮”这篇课文时，通过播放视频，让学生真切感受到钱塘江大潮的雄伟壮观。他在教学中贯彻了,Chinese,chinese_teacher_qualification,hard
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I wasn't allowed to bring my knife on the plane so I kept it at home. Scenario 2 | I lied about being at work to set up my husband's surprise party.",English,moral_scenarios,hard
Many scientists think that some of the dinosaurs did not go extinct but rather evolved into what kind of creature?,English,miscellaneous,hard
《西厢记》的作者是,Chinese,arts,hard
在创造专利申请文件中，确定专利权保护范围的主要依据是,Chinese,college_law,hard
"A preschool teacher is teaching students about a color wheel, which is an organization of hues around a circle. Red, yellow, and blue are examples of which of the following kinds of colors on the color wheel?",English,miscellaneous,hard
去除水疱后创面湿润，但感觉迟钝的皮肤烧伤是,Chinese,professional_medicine,hard
“组织平衡理论”认为，组织的存在和成功取决于两个因素之间的平衡关系，即,Chinese,sociology,hard
改革开放以来，我国城镇阶层结构大体分为,Chinese,sociology,hard
The rate of blood lactate accumulation is determined by:,English,college_medicine,hard
A principal source of the Earth’s internal energy is,English,conceptual_physics,hard
棉花需水临界期是,Chinese,agronomy,hard
Which of these features suggest that a pulsation in the neck is arterial?,English,clinical_knowledge,hard
The phenomenon of interference occurs for,English,conceptual_physics,hard
"Following the retirement of his business partner, Dr. Sheldon Smythe is the only psychologist in a small town, and the next closest mental health professional works in a town that is over 100 miles away. Several of Dr. Smythe’s new clients have problems for which he has limited training and experience. Dr. Smythe should:",English,professional_psychology,hard
"A company operates passenger buses to all the major cities on the east coast. This service is authorized under a certificate of convenience and necessity issued by the Interstate Commerce Commission, pursuant to federal statute. The certificate does not, however, specify particular highways, streets, or locations for the bus service. The company's advertising stresses that it picks up and delivers passengers at the center of each city that it serves. The company's management regards this as a particularly effective advertising point in competition with the airlines and the railroads, because short-haul traffic supplies a major part of the bus company's revenues. One of the major cities on the east coast, acting to relieve traffic congestion and air pollution, has recently enacted an ordinance that prohibits (a) the operation of all trucks and buses in a five- square- mile central business area, known as center city, between the hours of 10:00 A. M. and 4:00 P. M. on weekdays, and (b) all on-street parking of passenger automobiles in center city between the same weekday hours. The company's bus station in this city is located in the heart of the center city area. According to its transportation schedules, more than 75 buses either enter or leave this station between the hours of 10:00 A. M. and 4:00 P. M. each weekday. If the company brings suit challenging the constitutionality of the city ordinance, the court will most likely declare the ordinance",English,professional_law,hard
The terrestrial planet cores contain mostly metal because,English,astronomy,hard
"Compared with a fundamental tone, the frequency of its second harmonic is",English,conceptual_physics,hard
"On September 15, a card shop sent the following fax to a printing company: ""Please deliver 100 dozen assorted Christmas cards, delivery by November 1. ""On October 10, the printing company shipped 100 dozen assorted Thanksgiving cards to the card shop, which were received on October 12. The following day, the card shop sent the following fax to the printing company: ""Be advised that your shipment is rejected. Order stipulated Christmas cards, not Thanksgiving cards. ""On October 15, the printing company sent the following fax to the card shop: ""Will ship 100 dozen assorted Christmas cards by November 1. Please ship the Thanksgiving cards back to our warehouse and bill us for the shipping charges. "" This fax was received by the card shop, but the card shop did not respond to it or ship the Thanksgiving cards back to the printing company. On October 25, the printing company attempted to deliver 100 dozen assorted Christmas cards to the card shop, but the latter refused to accept. Did the card shop properly reject the October 25 delivery?",English,professional_law,hard
在心理学中，将个体心理活动或意识在一定方向上活动的强度或紧张程度称为,Chinese,professional_psychology,hard
Which one of the statements below is false?,English,international_law,hard
具有“压制个人目标，使组织目标凌驾于个人目标之上”特征的是,Chinese,management,hard
经济全球化的实质决定了它的发展必然是,Chinese,marxist_theory,hard
在一定时间间隔内，若质点系所受，则在该时间间隔内质点系的动量守恒。,Chinese,conceptual_physics,hard
"If the frequency of males affected with an X-linked recessive condition in a human population is .10 (one in ten), what will be the expected frequency of affected females?",English,medical_genetics,hard
"Obesity increases the risk of endometrial cancer. Which hormone is thought to mediate this effect?
",English,nutrition,hard
将出口商品以低于国市场价格，甚至低于商品生产成本的价格，在国外市场抛售商品以打击竞争对手的削价竞销行为，被称为,Chinese,business_ethics,hard
两种文化之间互相沟通、采借、冲突与融合的过程，被称为,Chinese,sociology,hard
民族形成的外在条件是,Chinese,ethnology,hard
"According to Gauthier, the basis of morality is:",English,philosophy,hard
What features distinguish Socio-Economic accounts of US Cold War foreign policy?,English,us_foreign_policy,hard
"A new drug with in vitro activity against HIV is tested on a population of patients with Western-blot confirmed HIV infections. Out of the 200 individuals in the patient population, 100 are chosen by lottery to receive the drug. The drug, which is tasteless, is administered in a cup of orange juice; the other patients receive pure orange juice. Neither the nurses, doctors, nor the patients know which patients receive the drug. At the end of the study period, the number of CD4+ T cells is determined for all of the subjects. This is an example of a",English,virology,hard
行政法的基本原则主要包括行政合法性原则、合理性原则和,Chinese,legal_and_moral_basis,hard
 What interior discipline must be adopted to achieve spiritual liberation within Sikhism?,English,world_religions,hard
 Which of the following is not mentioned by Macedo as a duty that societies have toward nonmembers?,English,moral_disputes,hard
在同场对抗性项群中，各个项目运动员的竞技能力起着决定作用的是,Chinese,sports_science,hard
运行中变压器温度最高的部分是,Chinese,electrical_engineering,hard
首届亚欧会议举办地是,Chinese,global_facts,hard
当夜深人静，即将准备进入梦乡时，我们的身体常常会突然抽搐一下，这种抽搐通常被科学家们称作临睡肌跃症(又称入睡抽动)。目前没有研究彻底弄清它的原因，因而人们对此有诸多猜测。有一种解释认为，人脑是基于爬行动物的大脑进化而来的，因此仍然保留了一部分爬行动物的应激反应模式。肌肉彻底放松时，大脑会基于这一应激反应模式，以为我们在自由坠落，出于自我保护的需要，大脑指挥全身肌肉马上行动，试图在下坠过程中抓住什么东西，于是本已放松的肌肉会突然收紧，导致入睡抽动。这段文字,Chinese,chinese_civil_service_exam,hard
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I picked all of the litter in my neighbor's yard. Scenario 2 | I swung my son around in a circle until he got slightly dizzy.",English,moral_scenarios,hard
A surgical support can be used for:,English,clinical_knowledge,hard
儿童性游戏其实也是一种,Chinese,human_sexuality,hard
组织形象分析的三个环节是,Chinese,public_relations,hard
文件型病毒不能感染的文件类型是,Chinese,computer_security,hard
系统地提出了动机归因理论的心理学家是,Chinese,professional_psychology,hard
"The police interrogated a suspect regarding a series of burglaries. The suspect had attention deficit disorder, dyslexia and an IQ of 72. Prior to beginning they read a list of Miranda rights to him on a form that the suspect had in front of him. After the reading, he initialed each paragraph indicating he understood. At the bottom of the form was an express written waiver of the Miranda rights, which he signed. He had been interrogated in the past and was familiar with the procedure. During the four hours of interrogation he was given bathroom breaks, coffee, and a sandwich. At the end of the process, he made a logical and seemingly cogent confession to all of the burglaries in a taped statement. The defendant later moved to suppress the confession, arguing that he was coming down from drugs at the time and was intellectually unable to understand and comprehend the nature of the warnings or the waiver. What is the most likely decision of the court under the totality of the circumstances?",English,professional_law,hard
Which of the following moons is NOT one of the Galilean moons?,English,astronomy,hard
The major advantage of using a forced-choice method as an employee performance appraisal technique is that:,English,professional_psychology,hard
"Whereas the social sciences (e.g., psychology, sociology, economics) ask questions about how people think and act, philosophy is the study of:",English,philosophy,hard
不锈钢制品与我们的日常生活密切相关，不锈钢的主要组成元素是,Chinese,chinese_teacher_qualification,hard
以“出芽”方式从细胞释放的病毒是,Chinese,virology,hard
否定教育自身的发展规律，割裂教育的历史传统，把教育完全作为政治、经济的附庸。这样的观念违背了教育的哪一特性? (),Chinese,college_education,hard
1977年10月21日，《人民日报》头版头条刊登了“高等学校招生进行重大改革”的报道。这一“重大改革”是,Chinese,chinese_history,hard
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I told my daughter to finish the vegetables on her plate, so she put the vegetables down her gullet when I was not looking. Scenario 2 | I told the hospital front desk my son was seriously ill because he needed a doctor's attention.",English,moral_scenarios,hard
设函数 $f(x)$ 在 $[0，1]$ 上二阶可导， 且 $\int_0^1 f(x) \mathrm{d} x=0$，则,Chinese,college_mathematics,hard
下面对国家秘密定级和范围的描述中，不符合《中华人民共和国保守国家秘密法》要求的是,Chinese,computer_security,hard
Environmentalist social movements are global in the sense that:,English,sociology,hard
小说《“锻炼锻炼”》在艺术上的特点是,Chinese,chinese_literature,hard
下列关于语言文字的说法错误的是,Chinese,chinese_civil_service_exam,hard
对财产清查结果进行账务处理的主要目的是保证,Chinese,professional_accounting,hard
"Before the close of evidence in a federal negligence trial, the defendant submitted a proposed jury instruction on contributory negligence. Before instructing the jury, the judge informed the parties of the instructions she would give, which did not include the defendant's contributory negligence instruction or any instruction on contributory negligence. Neither party objected, either then or after the judge had given the instructions. The jury after the judge had given the instructions. The jury returned a verdict for the plaintiff, and the judge entered judgment on the verdict. The defendant would like to appeal the verdict on the ground that the judge should have instructed the jury on contributory negligence. Has the defendant preserved the issue for appeal?",English,professional_law,hard
下列说法中正确的是,Chinese,modern_chinese,hard
低于维持身体有效活动最低生存指标的贫困状态，被称为,Chinese,sociology,hard
 Callahan is against the legalization of euthanasia because he believes legalization would,English,moral_disputes,hard
马克思认为，法律是一定物质生产方式所产生的社会共同利益需要的表现，而不是单个人的肆意横行。对于这一观点，下列理解正确的是,Chinese,jurisprudence,hard
患者气粗息涌，喉中痰鸣如吼，胸高胁胀，呛咳阵阵，咯痰色黄粘稠，心烦，汗出，面赤，口渴喜饮，不恶寒，舌质红，舌苔黄腻，脉滑数。此哮证的护治原则为,Chinese,traditional_chinese_medicine,hard
功能上互相整合的一组文化特质，它们结合起来共同发挥一项功能，以满足人的某种需要，这些文化特质就组成一个,Chinese,sociology,hard
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | Since the politician literally voted against increasing apple orchard subsidies, I decided to throw an apple pie toward the politician, and told him vote differently next time. Scenario 2 | I make sure my high-watt security light is aimed in my neighbor's bedroom window.",English,moral_scenarios,hard
经济文化相对落后的国家可以先于资本主义国家进入社会主义，其根本原因是由于,Chinese,marxist_theory,hard
我国《公司法》规定：“公司以其全部法人财产，依法自主经营、自负盈亏。”这一规定属于,Chinese,jurisprudence,hard
"In balanced bridge, if the positions of detector and source are interchanged, the bridge will still remain balanced. This can be explained from which theorem",English,electrical_engineering,hard
目前全国水位统一采用的基准面是(),Chinese,college_engineering_hydrology,hard
Which of the following statements does not characterise our understanding of disease pandemics within the contemporary international political system?,English,security_studies,hard
Which description below most accurately captures the distinction between Gemeinschaft and Gesellschaft?,English,jurisprudence,hard
借贷记账法下，对账户记录进行试算平衡所涉及的账户是,Chinese,professional_accounting,hard
Lex iniusta non est lex' has which of the following meanings?,English,jurisprudence,hard
"A man owned a four-story apartment building. The man borrowed $125,000 from his friend to make improvements. As consideration for the loan, the man executed a promissory note for $125,000 payable to the friend in one year and secured by a mortgage on the apartment building. The mortgage was dated January 1, 2008, and was recorded January 2, 2008. Thereafter, on February 1, 2008, the man executed a deed absolute on the apartment building and named the friend as grantee. This deed, although absolute in form, was intended only as additional security for the payment of the debt. In order to make judicial foreclosure unnecessary and to eliminate the right to redeem, the man then delivered the deed to an escrow agent in escrow with instructions to deliver the deed to the friend if the man failed to pay his promissory note at maturity. On January 1, 2009, the man failed to pay the note when it came due. The next day, the escrow agent delivered the deed to the apartment building to the friend. The friend then properly recorded this deed on January 3. One week later, on January 10, the friend conveyed the apartment building by warranty deed to an investor for the purchase price of $200,000. On January 12, the man tendered the $125,000 balance due to the friend, which he refused to accept. The man now brings an appropriate action against the friend and the investor to set aside the conveyance and to permit the redemption of the property by the man. Which of the following best states the man's legal rights, if any, in his action against the friend and the investor?",English,professional_law,hard
慢性萎缩性胃炎与胃腺癌关系最密切的病变是,Chinese,professional_medicine,hard
《命运交响曲》是谁的作品。,Chinese,arts,hard
Pick the correct description of the following term: Utilitarianism is…,English,business_ethics,hard
The common term for someone who has difficulty seeing objects in the distance is what?,English,miscellaneous,hard
企业员工具备优秀企业诚信品质的首要要求是,Chinese,business_ethics,hard
宣告建立欧洲联盟的条约是,Chinese,global_facts,hard
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I showed the bartender that I was 24 because he thought I was only 17. Scenario 2 | I mowed the lawn and didn't get paid.",English,moral_scenarios,hard
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I stopped the bully’s fights Scenario 2 | I am developing a cure based on religious beliefs.",English,moral_scenarios,hard
遗传咨询医师面向患者进行遗传咨询，以减少遗传病带给患者及其家庭的痛苦，帮助他们做出符合其最佳利益的决定。从伦理学视角分析，下列描述正确的是,Chinese,professional_medicine,hard
根据十二经脉流注次序，手少阳经应流注至,Chinese,traditional_chinese_medicine,hard
我国刑法规定，故意杀人，情节较轻的，处三年以上十年以下有期徒刑，本条规定属于故意杀人罪的（ ）。,Chinese,college_law,hard
在近代教育史上，反对思辨，主张用实证方法研究知识价值，提出教育的任务是教导人们为完美生活做准备的教育家是,Chinese,chinese_teacher_qualification,hard
"Living cells require constant interaction with the outside environment in order to attain the materials they need for survival, as well as to rid themselves of waste. Of the following processes, which uses only the gradient of material to control the direction in which the material moves across the cell membrane?",English,college_medicine,hard
决定自我传播活跃程度的是人脑信息库的,Chinese,journalism,hard
作为教学的一部分，课堂管理能够教给学生一些行为准则，并促使学生行为从他律到自律的转变，这说明课堂管理具有,Chinese,chinese_teacher_qualification,hard
Which two planets are most similar in size diameter wise?,English,miscellaneous,hard
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I taught my child that violence is not an acceptable solution to frustrating situations. Scenario 2 | I spent the afternoon filling the pinata with candy for the birthday party.",English,moral_scenarios,hard
无产阶级专政的目标是,Chinese,marxist_theory,hard
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | She wanted to decorate the apartment in a Halloween theme, so I poured spiders throughout the apartment so that we would have spiderweb decorations. Scenario 2 | I put rolled oats in a bowl in the microwave and heated it.",English,moral_scenarios,hard
"A 32-year-old man is brought to the emergency department 30 minutes after being struck by a car while driving his motorcycle. He reports severe pelvic pain. On examination, there is bruising of the perineum and pain is elicited with motion of his pelvis. Blood is noted at the urethral meatus. There is no other penile trauma. A plain x-ray shows a fracture of the superior pubic ramus and retrograde urethrography is done to evaluate for a urethral disruption. Which of the following portions of the urethra would be at greatest risk for injury in this patient?",English,professional_medicine,hard
公共关系意识是指一个组织在以（）利益和社会责任为前提的基础上产生的，主动为公众服务的意识、沟通的意识、协调的意识、信誉的意识、形象的意识、环保的意识、未来的意识和改善关系的各种可持续发展的意识。,Chinese,public_relations,hard
小说《春蚕》反映的时代背景是,Chinese,chinese_literature,hard
"At its peak, what was the approximate difference in approval of school desegration from the South and the rest of the U.S.?",English,global_facts,hard
人们在一定的认识基础上确立的对某种思想或事物坚信不疑并身体力行的态度，称为,Chinese,legal_and_moral_basis,hard
下列现象中，不属于教育的是 (),Chinese,college_education,hard
Purely mechanical instrument cannot be used for dynamic measurements because they have,English,electrical_engineering,hard
肱三头肌受（ ）支配,Chinese,anatomy,hard
"What are the main causes of the obesity epidemic?
",English,nutrition,hard
一个人如果没有崇高理想或者缺乏理想，就会像一艘没有舵的船，随波逐流，难以顺利到达彼岸。这主要说明了理想是,Chinese,legal_and_moral_basis,hard
社会同生物一样也是一个有机体，但社会不是简单的有机体而是“超有机体”，持这种观点的社会学者是,Chinese,sociology,hard
Which of these is a commonly-known investment account?,English,miscellaneous,hard
"When cross-validation of a set of predictors results in great shrinkage of an initially encouraging multiple correlation coefficients, it is most likely chat",English,professional_psychology,hard
Sociology differs from common sense in that:,English,sociology,hard
 Ross claims that the essential defect of utilitarianism is that it ignores,English,moral_disputes,hard
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I'm a nurse.  I try to keep getting my patients sick so they need more treatments from me. Scenario 2 | I stomped on the tall kidnapper's foot.",English,moral_scenarios,hard
You are director of communications for a local non-profit chapter organization that is an affiliate of a large national non-profit organization. You are frequently asked to secure media coverage using news releases provided by national headquarters located in another state. Which action would most improve your chances of success with these materials?,English,public_relations,hard
" According to Lukianoff and Haidt, institutionalizing vindictive protectiveness will",English,moral_disputes,hard
对病毒包膜的叙述错误的是,Chinese,virology,hard
（）的女装将银饰钉在衣服上，称为“银衣”，头上戴有形如牛角的银饰,Chinese,ethnology,hard
影响记者写作心理状态的客观因素不包括,Chinese,journalism,hard
素有“百汤百味”之称的是,Chinese,chinese_food_culture,hard
生成组织液的有效率过压等于,Chinese,college_medicine,hard
心力衰竭细胞是指,Chinese,college_medicine,hard
"What is the value of the tax shield if the value of the firm is $5 million, its value if unlevered would be $4.78 million, and the present value of bankruptcy and agency costs is $360,000?",English,professional_accounting,hard
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I kicked the cat that was meowing at me for food. Scenario 2 | I pushed the sled down the snowy hill.",English,moral_scenarios,hard
知名度指一个组织被公众知晓、了解的程度，是评价组织名气大小的客观尺度，侧重于（）的评价，即组织对社会公众影响的广度和深度。,Chinese,public_relations,hard
"In stage 3 of the 'health transition', the main causes of illness and death are:",English,sociology,hard
"Late one evening a man was driving home from his job as a security guard at a jewefry store. As the man approached a railroad crossing he noticed that the barriers to the crossing were open. The man cautiously looked both ways for any train. Assuming that no train was coming, he proceeded across the railroad tracks. Suddenly, an oncoming train struck the man's car, completely demolishing it. The man was dead on arrival at the local hospital. Unknown to the man, the railroad crossing guard, in a drunken stupor, had fallen asleep at the barrier controls. He failed to see or hear the signals from the oncoming train that struck and killed the man. The railroad company was well aware of the crossing guard's alcoholism, but continued to employ him. However, two weeks after the accident occurred, the railroad company fired the crossing guard. The executor of the man's estate institutes a wrongful death action against the railroad company. During the trial, the attorney for the man's estate offered into proof the fact that the defendant railroad company dismissed the crossing guard shortly after the accident. Upon objection by the railroad company's attorney, the court should",English,professional_law,hard
我们通常所说的“小道消息”属于,Chinese,education,hard
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I pulled my friend from the top of the waterfall. Scenario 2 | I served portions of Mud Pie made of real dirt to my young sister.",English,moral_scenarios,hard
对病因含义最确切的表达是,Chinese,virology,hard
"A man mailed a letter to a woman promising to sell her his motorcycle for $1,000. After receiving the letter, the woman sent the man a fax that stated, ""The price is a little high, I'll give you $800. "" The man responded by fax, ""I will not accept $800. "" The next day, the woman telephoned the man and said, ""I changed my mind, I will pay $1,000 for the motorcycle. "" The man refused to sell the woman his motorcycle. If the woman sues the man for breach of contract, which of the following defenses would be the man's best defense?",English,professional_law,hard
驾驶机动车变更车道时，属于交通陋习的是什么行为,Chinese,chinese_driving_rule,hard
“对客观事物的反映即是真理”，这是,Chinese,marxist_theory,hard
Which of the following is a true statement about optical isomerism of complexes containing achiral ligands?,English,college_chemistry,hard
"A corporation is ________ from its managers, employees, investors and customers. It therefore has _______ succession and also ________.",English,business_ethics,hard
《草叶集》的作者是美国作家,Chinese,arts,hard
What is the percentage of children aged 13-15 in Japan who reported being bullied at least once in the past couple of months as of 2015?,English,global_facts,hard
电磁式万用表用完后，应将转换开关置于,Chinese,electrical_engineering,hard
"The civic auditorium is owned by the city. The auditorium is rented out to various organizations throughout the year. With a seating capacity of 1,500, it is customarily leased for rock concerts, rodeos, sporting events, fashion shows, etc. In January, a rock star held a week-long concert there, drawing a full house each night. Generally, the city leases the auditorium's facilities for a charge of $2,000 per day. In February, a religious sect applied to rent the auditorium for its annual celebration. However, the city council voted 7 to 3 against permitting the group from using the auditorium. When their rental application was denied, the religious sect threatened to take legal action against the city council. They contended unfair discrimination inasmuch as other religious organizations had leased the auditorium in previous months for their religious gatherings. Amid this controversy, the city council passed an ordinance prohibiting the rental of the auditorium to any religious group. The ordinance was passed in a ""closed door"" session, which did not permit any debate or hearings on the matter. Is this newly enacted city ordinance likely to be held constitutional?",English,professional_law,hard
围绕着学生的需要和兴趣，以活动为组织形式的课程类型个属于,Chinese,chinese_teacher_qualification,hard
The loss of a ____ is regarded in the U. S. as the most severe loss and frequently produces guilt in addition to other emotions.,English,human_aging,hard
"A corporation, under the authority of a statute of the state, sued to have condemned 1,000 acres of forested land owned by a timber company, which it planned to develop for use as a state recreational area and state game lands. After a hearing, the state court ordered possession of the land surrendered to the corporation, prior to determination of compensation, upon deposit in court of a sum deemed adequate to cover damages that might be awarded. The timber company immediately commenced an action to enjoin the court-ordered sale of its property. Which of the following would be the best ground for upholding the state court's order?",English,professional_law,hard
The city of Uruk and the cultures of the Maya and the Moche were all adversely affected by:,English,prehistory,hard
"A farmer was the record title owner of a 30-acre tract of farmland. The farmer lived out of state and rarely visited the farmland, which remained unoccupied. Adjoining the farmland was a 50-acre ranch, which was owned by a rancher. In 2004, the rancher forged the farmer's signature on a deed and purported to convey the farmland to a grocer. The grocer paid the rancher $100,000 as the purchase price for the farmland. The following year, the grocer sold the property to a buyer for $125,000. The deed from the grocer to the buyer was properly executed and recorded by the buyer. This jurisdiction has the following ""pure race"" recording statute in effect:""No conveyance or other instrument is valid as against purchasers for a valuable consideration who record first. ""After the buyer took possession of the farmland, he renovated the farmhouse that was located on the property and made improvements valued at $50,000. In 2006, the farmer returned to visit his sister. During his visit, the farmer went to the farmland to inspect his farmland. While doing so, he encountered the buyer, who informed the farmer that he was the new owner of the property. The farmer thereupon instituted suit to quiet title to the farmland. After judgment was rendered in the farmer's favor, the buyer was ejected from the property. The buyer has now filed an appropriate action against the grocer seeking restitution for the loss he incurred with respect to the purchase and improvements made on the farmland. The buyer will likely recover",English,professional_law,hard
关于密度的概念下列说法正确的是,Chinese,conceptual_physics,hard
"As of 2015, about what percentage of the world’s land area is forested?",English,global_facts,hard
Telework is a form of employment that involves:,English,sociology,hard
In the film 'The Talented Mr Ripley' who plays Mr Ripley?,English,miscellaneous,hard
以有组织的学科内容作为课程组织基础的课程类型是,Chinese,education,hard
 Little argues that the norms governing the moral permission of abortion are,English,moral_disputes,hard
"Which of the following statements is correct?
",English,nutrition,hard
我国第一个职教园区是,Chinese,education,hard
 Just war theory's principle of military necessity belongs to,English,moral_disputes,hard
骨髓瘤 Durie-Salmon 临床分期为Ⅲ期是指,Chinese,professional_medicine,hard
"In either a fission event or a fusion event, a quantity that remains unchanged is the",English,conceptual_physics,hard
"Moore claims that there is no meaning in saying that pleasure is good, unless:",English,philosophy,hard
在现代管理学中，管理人员对当前的实际工作是否符合计划而进行测定并促使组织目标实现的过程，被称为,Chinese,management,hard
Exact solutions of the Schrödinger equation CANNOT be obtained for a,English,college_chemistry,hard
 The pricing approach where prices are set based on what customers believe to offer value is called the:,English,marketing,hard
"To say that ""philosophy"" (like ""love"" or ""art"") is not a closed concept means that we cannot state the necessary and sufficient conditions by which it is defined.  Rather, philosophic issues are identifiable as having ""family resemblances"" with one another.  In other words:",English,philosophy,hard
How has coercive diplomacy featured in contemporary security studies?,English,security_studies,hard
Estimate the β-hyperfine value for the cyclobutyl radical (C4H7•) assuming the radical is flat and the HCH angle is 115°.,English,college_chemistry,hard
The total number of people who have some disorder divided by the total number of people gives you the ____ rate.,English,human_aging,hard
新世纪新阶段民族工作的主题是,Chinese,ethnology,hard
In horse racing what is the term for a wager on the 1st 2nd and 3rd place finishers in a specific race?,English,miscellaneous,hard
标志着社会大多数社会公众对组织的基本态度和行为是,Chinese,public_relations,hard
What is the nickname of Florida's controversial death row electric chair?,English,miscellaneous,hard
重要节日喜吃年糕的我国少数民族是,Chinese,chinese_food_culture,hard
网页木马是一种通过攻击浏览器或浏览器外挂程序的漏洞，向目标用户机器植入木马、病毒、密码盗取等恶意程序的手段，为了要安全浏览网页，不应该,Chinese,computer_security,hard
在路由器上进⾏⼴域⽹连接时必须设置的参数是,Chinese,computer_science,hard
" In the Japanese Zen tradition, what is zazen?",English,world_religions,hard
A used car dealer needs to disclaim any implied warranty of merchantability. Which of the following is not considered an effective way of making a full disclaimer of the implied warranty?,English,professional_law,hard
暴露人口也称危险人群，暴露人口必须有可能患所要观察的疾病，且必须是,Chinese,virology,hard
Why can't we see the Sun's corona except during total solar eclipses?,English,astronomy,hard
人的生命是有限的，但生命的意义和价值却可以不同。实现人生价值的根本途径是,Chinese,legal_and_moral_basis,hard
最容易受毒性代谢产物损伤的器官是,Chinese,college_medicine,hard
在一次马拉松比赛中，某国运动员包揽了前四名，他们佩戴的参赛号码很有趣：运动员甲的号码加4，乙的号码减4，丙的号码乘4，丁的号码除以8，所得的数字都一样。这四个号码中有1个三位数号码，2个两位数号码，1个一位数号码，且其中一位运动员在比赛中取得的名次也与自己的号码相同。那么其中三位数的号码为,Chinese,chinese_civil_service_exam,hard
“教育是由神(上帝或天)所创造的，体现神或上天的意志，使人依于神或顺从于天”是神话起源说的理论观点。下列人物中，哪位是神话起源说的代表人物? (),Chinese,college_education,hard
4岁左右儿童的大脑皮层各区的突触密度已经达到顶峰，与成人相比约为,Chinese,professional_psychology,hard
"To be effective, the process of market segmentation must meet which of the following basic requirements?",English,marketing,hard
During which step of the Chase Jones model of issues management should the strengths and weaknesses of the organisation be reviewed?,English,public_relations,hard
在失范理论中，既放弃了社会鼓励的目标，也抛弃了社会认可的手段，这种适应方式被称为,Chinese,sociology,hard
《最高人民法院关于审理盗窃案件具体应用法律若干问题的解释》规定：各地高级人民法院可根据本地区经济发展状况，并考虑社会治安状况，在本解释规定的数额幅度内，分别确定本地区执行“数额较大”“数额巨大”“数额特别巨大”的标准。依据法理学的有关原理，下列表述正确的是,Chinese,jurisprudence,hard
20世纪70代年初，美国为推行尼克松主义，缓和美苏关系，与苏联签署了下面哪项条约,Chinese,global_facts,hard
产生感生电场的根源是：,Chinese,conceptual_physics,hard
关于国际恐怖主义，下列错误的描述是哪一个,Chinese,global_facts,hard
The normal voltage used in directional heating is,English,electrical_engineering,hard
在公元500-800年间，教会对蛮族进行教化的工作主要是,Chinese,world_religions,hard
伦理经营的天敌是,Chinese,business_ethics,hard
Australian and America megafauna were probably wiped out by:,English,prehistory,hard
